Partlist

Exported from 2LabsToGo V0.3.0.brd at 02.09.2024 08:42

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value                       Package         Library                      Position (mm)         Orientation

R44      330                         R0805           rcl                          (109.5375 38.4175)    R90
R45      10k                         R0805           rcl                          (113.9825 42.545)     R270
R46      330                         R0805           rcl                          (117.1575 36.83)      R270
R47      10                          R0805           rcl                          (115.8875 31.75)      R270
R48      10k                         R0805           rcl                          (123.825 30.48)       R0
R49      4k7                         R0805           rcl                          (119.6975 30.48)      R180
R50      500k                        RTRIM3296W      rcl                          (125.4125 36.83)      R0
R51      TBD                         R0805           rcl                          (144.145 43.815)      R90
R52      TBD                         R0805           rcl                          (124.1425 43.8785)    R90
R53      10                          R0805           rcl                          (106.9975 31.75)      R270
R54      100k                        R0805           rcl                          (103.1875 30.48)      R0
R55      100k                        R0805           rcl                          (112.0775 31.4325)    R270
R56      100k                        R0805           rcl                          (132.3975 31.4325)    R270
R57      1k                          R0805           rcl                          (30.48 111.76)        R180
R58      10k                         R0805           rcl                          (19.3675 103.505)     R270
R59      4k7                         R0805           rcl                          (20.32 107.95)        R0
R60      TBD                         R0805           rcl                          (25.4 101.6)          R0
R61      1k                          R0805           rcl                          (31.4325 97.79)       R270
R62      1M                          R0805           rcl                          (31.4325 107.6325)    R270
R63      1k                          R0805           rcl                          (13.97 102.235)       R90
R64      200k                        RTRIM3296W      rcl                          (24.13 97.79)         R270
R65      10k                         R0805           rcl                          (29.21 107.6325)      R270
R66      0R1                         R1206           rcl                          (33.02 118.11)        R90
R67      0R1                         R1206           rcl                          (17.78 118.11)        R90
R68      1k                          R0805           rcl                          (45.72 111.76)        R180
R69      10k                         R0805           rcl                          (34.6075 103.505)     R270
R70      4k7                         R0805           rcl                          (35.56 107.95)        R0
R71      1k                          R0805           rcl                          (46.6725 97.79)       R270
R72      1M                          R0805           rcl                          (46.6725 107.6325)    R270
R73      1k                          R0805           rcl                          (44.45 102.235)       R90
R74      200k                        RTRIM3296W      rcl                          (39.37 97.79)         R270
R75      TBD                         R0805           rcl                          (40.64 101.6)         R0
R76      10k                         R0805           rcl                          (44.45 107.6325)      R270
R77      0R1                         R1206           rcl                          (48.26 118.11)        R90
R78      10k                         R0805           rcl                          (50.165 45.4025)      R180
R79      10k                         R0805           rcl                          (93.98 120.65)        R180
R80      TBD                         R0805           rcl                          (125.73 49.53)        R90
R81      500                         RTRIM3296W      rcl                          (121.92 52.07)        R0
R82      100k                        R0805           rcl                          (72.0725 39.6875)     R90
R83      100                         R0805           rcl                          (25.0825 134.62)      R0
R84      15k                         R0805           rcl                          (31.75 74.93)         R180
R85      51k                         R0805           rcl                          (36.83 78.74)         R90
R86      TBD                         R0805           rcl                          (35.8775 74.93)       R180
R87      10                          R0805           rcl                          (25.4 90.17)          R180
R88      TBD                         RTRIM3296W      rcl                          (40.64 81.28)         R180
R89      3k                          R0805           rcl                          (97.79 81.915)        R180
R90      1k                          R0805           rcl                          (91.44 79.375)        R90
R91      18k512                      R0805           rcl                          (93.98 79.375)        R270
R92      330                         R0805           rcl                          (69.5325 94.9325)     R0
R93      330                         R0805           rcl                          (69.5325 92.3925)     R0
R94      330                         R0805           rcl                          (69.5325 89.8525)     R0
R95      1k                          R0805           rcl                          (54.2925 82.2325)     R180
R96      1k                          R0805           rcl                          (54.2925 79.6925)     R180
R97      1k                          R0805           rcl                          (54.2925 84.7725)     R180
R98      330                         R0805           rcl                          (54.2925 87.3125)     R180
R99      10                          R0805           rcl                          (96.8375 31.75)       R270
